"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"allow-suspicious-udfs",,"0,1",false,"engine-default","static","boolean","Controls whether user-defined functions that have only an xxx symbol for the main function can be loaded","pending-reboot",
"aurora_binlog_read_buffer_size",,"8192-536870912",true,"engine-default","dynamic","integer","Read buffer size used by master dump thread when the switch aurora_binlog_use_large_read_buffer is ON.","immediate",
"aurora_binlog_replication_max_yield_seconds",,"0-36000",true,"engine-default","dynamic","integer","Max seconds to yield when master dump thread replicates the current binlog file (the file used by foreground queries) to slave.","immediate",
"aurora_binlog_use_large_read_buffer",,"0,1",true,"engine-default","dynamic","boolean","Switch for turning on the feature of replication improvement. When it is ON, aurora_binlog_read_buffer_size (see below) is used by master dump thread for binlog replication; otherwise default buffer size (8K) is used instead.","immediate",
"aurora_disable_hash_join",,"0,1",true,"engine-default","dynamic","boolean","A global user variable for user to disable hash join. When it is on, hash join is disabled by default, and customer can set it on per session.","pending-reboot",
"aurora_enable_repl_bin_log_filtering",,"0,1",true,"engine-default","dynamic","boolean","Enable filtering of replication records that are unusable by Aurora replicas on the master.","pending-reboot",
"aurora_enable_replica_log_compression",,"0,1",true,"engine-default","dynamic","boolean","Enable compression of replication payloads to improve network bandwidth utilization between the master and Aurora replicas.","pending-reboot",
"aurora_enable_staggered_replica_restart",,"0,1",true,"engine-default","dynamic","boolean","Allow Aurora replicas to follow a staggered restart schedule to increase cluster availability.","pending-reboot",
"aurora_enable_zdr",,"0,1",true,"engine-default","dynamic","boolean","Allow connections opened on an Aurora replica to stay active on replica restart.","pending-reboot",
"aurora_lab_mode","0","0,1",true,"engine-default","static","boolean","Enables new features in the Aurora engine.","pending-reboot",
"aurora_load_from_s3_role",,,true,"engine-default","dynamic","string","IAM role ARN used to load data from AWS S3","immediate",
"aurora_max_alter_table_log_entries",,,true,"engine-default","dynamic","integer","RDS ability to limit the number of maximum outstanding Fast Online DDL. Set 0 to disable FOD. Does not apply to tables which are already altered via FOD.","immediate",
"aurora_oom_response",,,true,"engine-default","dynamic","string","Once the available memory on the instance is low, the list of actions separated by commas, taken by engine as a best-effort measure to avoid OOM. Valid actions include print, tune, decline, kill_query or any combination of these.","pending-reboot",
"aurora_parallel_query","OFF","ON,OFF",true,"system","dynamic","string","This parameter can be used to enable and disable Aurora Parallel Query. The parameter applies to Aurora release 1.23.0 and later.","pending-reboot",
"aurora_pq","1","0,1",true,"system","dynamic","boolean","This parameter can be used to enable and disable Aurora Parallel Query. The parameter is deprecated as of release 1.23.0. In release 1.23.0 and later, use parameter aurora_parallel_query instead.","pending-reboot",
"aurora_pq_supported","1","0,1",false,"system","static","boolean","Aurora Parallel Query Support. This parameter is automatically applied when using the parallelquery engine mode. The parameter is deprecated as of release 1.23.0.","pending-reboot",
"aurora_select_into_s3_role",,,true,"engine-default","dynamic","string","IAM role ARN used to select data into AWS S3","immediate",
"autocommit",,"0,1",true,"engine-default","dynamic","boolean","Sets the autocommit mode","pending-reboot",
"auto_increment_increment",,"1-65535",true,"engine-default","dynamic","integer","Intended for use with master-to-master replication, and can be used to control the operation of AUTO_INCREMENT columns","pending-reboot",
"auto_increment_offset",,"1-65535",true,"engine-default","dynamic","integer","Determines the starting point for the AUTO_INCREMENT column value","pending-reboot",
